,Tube_ID,row_counter,Lake_name,Invasion_category,Sample_type,Sample_origin,Collected_year,Collected_month_number,Littoral_zoobenthic_macroinvert_community_sample,Transect,Lat,Long,Sample_depth,Total_count,Vial_count,Functional_feeding_group,Method_of_take,real.name,Functional_group,Common_name,Scientific_name,Total_length_mm,Weight_g,Tube_box,Tube_size_ml,Preservative,Isotope_sample_weight_mg,Davis_ID_long,d13C,Total.C..µg.,d15N,Total.N..µg.,Type.of.Material,Sample.Weight..mg..from.Sample.List,Internal.ID,Lake_max_depth_m,Lake_surface_elev_m,Current_conversion,Secchi_m,Surface_area_ha,n,d13C_baseline,d13C_base_se,d15N_baseline,d15N_base_se,d13C_corr,d15N_corr,Lake_elevation,Lake_area,Lake_depth,Collected_date,Collected_month_name_long,Collected_month_name_short,Collected_time,Depth,Total._count,Remove.from.case,Approx.weight.of.tube..g.,Notes1,Notes2,Wet.weight.tube..g.,In_oven_date,Oven_temp_C,Test1.date,Test1.weight.tube..g.,Test2.date,Test2.weight.tube..g.,Daily.change,Test.3.date,Test.3.weight..g.,Daily.change.1,Out_oven_date,Dry_time_h,Est.pre.powder.dry.sample.in.tube..g.,Est...isotope.samples.in.tube,Powder.complete.date,Post.powder.Powder.tube.weight..g.,Powder.lost..g.,Powder.available.for.isotope.caps..g.,Est.number.of.isotope.caps.possible.from.powder,Cell.well.tray,Mixed.sample..Y.N,Count.of.individuals,Weight.of.individual,Mixed.with.which.tube.,Powder.weight.contributed..mg.,Empty.,Well_Row,Well_Column,Isotope_sample_ID_.year.tray.x.y.,Isotope_sample_complete_date
781,EADB,294,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,YES,7,48.057322,-113.646244,1.5,2,2,,D-net,Perlodidae,Littoral forage Invertebrate,Perlodid stonefly,Perlodidae,NA,NA,2019-EA,1.5,Ethanol,1.055,SIERRA-E-06,-30.22,509.09,2.7,134.15,Invertebrate,1.055,1669588,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-1.791666667,1.665833333,1112,9630,149,6/5/2019,June,Jun,NA,1.5,2,NA,NA,,,,8/27/2019 10:00,60,,,,NA,,,NA,,8/30/2019 10:00,72,,,,NA,,NA,NA,2019-SEP-21-001,N,,,NA,1.055,N,E,12,2019-SEP-21-001-E-12,9/21/2019
782,EADG,322,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,YES,8,48.109816,-113.697611,0.5,1,1,Piercer-predator,D-net,Dytiscidae,Littoral forage Invertebrate,Predaceous diving beetle adult,Dytiscidae,NA,NA,2019-EA,1.5,Ethanol,0.959,SIERRA-E-07,-28.3,448.52,0.88,106.75,Invertebrate,0.959,1669589,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.128333333,-0.154166667,1112,9630,149,6/5/2019,June,Jun,NA,0.5,1,NA,NA,Adult,,,8/27/2019 10:00,60,,,,NA,,,NA,,8/30/2019 10:00,72,,,,NA,,NA,NA,2019-SEP-21-001,N,,,NA,0.959,N,C,6,2019-SEP-21-001-C-6,9/21/2019
783,EADI,296,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,YES,8,48.109816,-113.697611,0.5,34,34,Collector-gatherer-filterer,D-net,Ephemerellidae,Littoral forage Invertebrate,Spiny crawler mayfly,Ephemerellidae,NA,NA,2019-EA,1.5,Ethanol,0.904,SIERRA-E-08,-26.75,335.78,0.96,94.75,Invertebrate,0.904,1669590,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.678333333,-0.074166667,1112,9630,149,6/5/2019,June,Jun,NA,0.5,34,NA,NA,,,,8/27/2019 10:00,60,,,,NA,,,NA,,8/30/2019 10:00,72,,,,NA,,NA,NA,2019-SEP-21-001,Y,,,"EADI, FAAD",0.292,N,A,9,2019-SEP-21-001-A-9,9/21/2019
784,EADK,324,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,YES,8,48.109816,-113.697611,1,1,1,Piercer-predator,D-net,Dytiscidae,Littoral forage Invertebrate,Predaceous diving beetle adult,Dytiscidae,NA,NA,2019-EA,1.5,Ethanol,1.053,SIERRA-E-09,-27.67,501.98,1.75,118.9,Invertebrate,1.053,1669591,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.758333333,0.715833333,1112,9630,149,6/5/2019,June,Jun,NA,1,1,NA,NA,Adult,,,8/27/2019 10:00,60,,,,NA,,,NA,,8/30/2019 10:00,72,,,,NA,,NA,NA,2019-SEP-21-001,N,,,NA,1.053,Y,C,8,2019-SEP-21-001-C-8,9/21/2019
785,EADM,356,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,YES,8,48.109816,-113.697611,1,11,11,Collector-gatherer-filterer,D-net,Ephemerellidae,Littoral forage Invertebrate,Spiny crawler mayfly,Ephemerellidae,NA,NA,2019-EA,1.5,Ethanol,1.037,SIERRA-E-10,-27.29,379.45,1.14,108.69,Invertebrate,1.037,1669592,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.138333333,0.105833333,1112,9630,149,6/5/2019,June,Jun,NA,1,11,NA,NA,,,,8/27/2019 10:00,60,,,,NA,,,NA,,8/30/2019 10:00,72,,,,NA,,NA,NA,2019-SEP-21-001,N,,,NA,1.037,N,B,3,2019-SEP-21-001-B-3,9/21/2019
786,EADO,316,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,YES,8,48.109816,-113.697611,1.5,8,8,Collector-gatherer-filterer,D-net,Ephemerellidae,Littoral forage Invertebrate,Spiny crawler mayfly,Ephemerellidae,NA,NA,2019-EA,1.5,Ethanol,1.078,SIERRA-E-11,-27.42,422.61,1.31,116.52,Invertebrate,1.078,1669593,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,1.008333333,0.275833333,1112,9630,149,6/5/2019,June,Jun,NA,1.5,8,NA,NA,,,,8/27/2019 10:00,60,,,,NA,,,NA,,8/30/2019 10:00,72,,,,NA,,NA,NA,2019-SEP-21-001,N,,,NA,1.078,N,B,5,2019-SEP-21-001-B-5,9/21/2019
787,EAE,1182,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,1,48.821788,-114.135629,1,1,1,Piercer-predator,D-net,Notonectidae,Littoral forage Invertebrate,Backswimmer,Notonectidae,NA,NA,2018-E,1.5,Ethanol,0.905,CHARLIE-G-01,-21.58,449.3,2.09,115.64,Invertebrate,0.905,1668071,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,1.838,1.038666667,1345,352,84,6/25/2018,June,Jun,NA,1,1,NA,0.9862,,,2.273,11/1/2018 14:40,60,11/2/2018 16:45,1.092,11/3/2018 15:25,1.092,0.00%,11/4/2018 17:34,1.092,0.00%,11/4/2018 17:34,75,0.1058,105.8,11/23/2018,NA,1.092,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,0.905,Y,B,8,2018-NOV-23-004-B-8,11/23/2018
788,EAF,1057,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,1,48.821788,-114.135629,1,1,1,Piercer-predator,D-net,Hydrachnidia,Littoral forage Invertebrate,Water mite,Hydrachnidia,NA,NA,2018-E,1.5,Ethanol,0.848,CHARLIE-G-02,-27.15,410.51,5.28,103.25,Invertebrate,0.848,1668072,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-3.732,4.228666667,1345,352,84,6/25/2018,June,Jun,NA,1,1,NA,0.9862,Water mite,,2.338,11/1/2018 14:40,60,11/2/2018 16:45,1.083,11/3/2018 15:25,1.083,0.00%,11/4/2018 17:34,1.083,0.00%,11/4/2018 17:34,75,0.0968,96.8,11/23/2018,NA,1.083,-0.9862,-986.2,2018-NOV-23-004,Y,,,"EAF, EAY",0.35,Y,B,9,2018-NOV-23-004-B-9,11/23/2018
789,EAG,1058,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,1,48.821788,-114.135629,1,2,2,Collector-gatherer-shredder-detritivore,D-net,Gammaridae,Littoral forage Invertebrate,Scud,Gammaridae,NA,NA,2018-E,1.5,Ethanol,1.053,CHARLIE-G-03,-20.53,362.57,0.5,79.15,Invertebrate,1.053,1668073,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,2.888,-0.551333333,1345,352,84,6/25/2018,June,Jun,NA,1,2,NA,0.9862,Scud,,2.306,11/1/2018 14:40,60,11/2/2018 16:45,1.091,11/3/2018 15:25,1.091,0.00%,11/4/2018 17:34,1.091,0.00%,11/4/2018 17:34,75,0.1048,104.8,11/23/2018,NA,1.091,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,1.053,N,B,10,2018-NOV-23-004-B-10,11/23/2018
790,EAI,1166,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,1,48.821788,-114.135629,1,2,2,Collector-gatherer-scraper,D-net,Chironomidae_w,Littoral forage Invertebrate,Midge,Chironomidae_w,NA,NA,2018-E,1.5,Ethanol,0.757,DELTA-C-10,-24.2,339.63,0.87,82.4,Invertebrate,0.757,1668128,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-0.782,-0.181333333,1345,352,84,6/25/2018,June,Jun,NA,1,2,NA,0.9862,White,,2.69,11/1/2018 14:40,60,11/2/2018 16:45,1.09,11/3/2018 15:25,1.09,0.00%,11/4/2018 17:34,1.09,0.00%,11/4/2018 17:34,75,0.1038,103.8,11/23/2018,NA,1.09,-0.9862,-986.2,2018-NOV-23-004,Y,,,"EAI, EAX, ECB",0.171,Y,B,12,2018-NOV-23-004-B-12,11/23/2018
791,EAJ,1032,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,1,48.821788,-114.135629,1,1,1,Collector-filterer-gatherer,D-net,Culicidae,Littoral forage Invertebrate,Mosquito,Culicidae,NA,NA,2018-E,1.5,Ethanol,0.955,CHARLIE-G-04,-22.85,460.58,2.25,120.15,Invertebrate,0.955,1668074,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,0.568,1.198666667,1345,352,84,6/25/2018,June,Jun,NA,1,1,NA,0.9862,,,2.374,11/1/2018 14:40,60,11/2/2018 16:45,1.082,11/3/2018 15:25,1.082,0.00%,11/4/2018 17:34,1.082,0.00%,11/4/2018 17:34,75,0.0958,95.8,11/23/2018,NA,1.082,-0.9862,-986.2,2018-NOV-23-004,Y,,,"EAJ, EBS",0.067,Y,C,1,2018-NOV-23-004-C-1,11/23/2018
792,EAL,1060,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,1,48.821788,-114.135629,1.5,6,6,Collector-gatherer-shredder-detritivore,D-net,Gammaridae,Littoral forage Invertebrate,Scud,Gammaridae,NA,NA,2018-E,1.5,Ethanol,1.024,CHARLIE-G-05,-20.52,388.63,2.33,85.48,Invertebrate,1.024,1668075,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,2.898,1.278666667,1345,352,84,6/25/2018,June,Jun,NA,1.5,6,NA,0.9862,Scud,,2.442,11/1/2018 14:40,60,11/2/2018 16:45,1.102,11/3/2018 15:25,1.102,0.00%,11/4/2018 17:34,1.102,0.00%,11/4/2018 17:34,75,0.1158,115.8,11/23/2018,NA,1.102,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,1.024,N,C,3,2018-NOV-23-004-C-3,11/23/2018
793,EAM,1183,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,1,48.821788,-114.135629,1.5,2,2,Collector-gatherer-scraper,D-net,Chironomidae_r,Littoral forage Invertebrate,Midge,Chironomidae_r,NA,NA,2018-E,1.5,Ethanol,0.675,CHARLIE-H-06,-22.79,318.04,0.85,76.45,Invertebrate,0.675,1668088,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,0.628,-0.201333333,1345,352,84,6/25/2018,June,Jun,NA,1.5,2,NA,0.9862,Red,,2.27,11/1/2018 14:40,60,11/2/2018 16:45,1.056,11/3/2018 15:25,1.056,0.00%,11/4/2018 17:34,1.056,0.00%,11/4/2018 17:34,75,0.0698,69.8,11/23/2018,NA,1.056,-0.9862,-986.2,2018-NOV-23-004,Y,,,"EAM, EBC",0.349,Y,C,4,2018-NOV-23-004-C-4,11/23/2018
794,EAN,1142,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,1,48.821788,-114.135629,1.5,1,1,Collector-gatherer-engulfer,D-net,Naididae,Littoral forage Invertebrate,Oligochaete worm,Naididae,NA,NA,2018-E,1.5,Ethanol,0.61,CHARLIE-G-06,-27.6,284.25,2.46,65.32,Invertebrate,0.61,1668076,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-4.182,1.408666667,1345,352,84,6/25/2018,June,Jun,NA,1.5,1,NA,0.9862,,,2.22,11/1/2018 14:40,60,11/2/2018 16:45,1.083,11/3/2018 15:25,1.083,0.00%,11/4/2018 17:34,1.083,0.00%,11/4/2018 17:34,75,0.0968,96.8,11/23/2018,NA,1.083,-0.9862,-986.2,2018-NOV-23-004,Y,,,"EAN, EBB, EDI",0.163,Y,C,6,2018-NOV-23-004-C-6,11/23/2018
795,EAO,1143,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,1,48.821788,-114.135629,1.5,2,2,Collector-filterer-gatherer,D-net,Culicidae,Littoral forage Invertebrate,Mosquito,Culicidae,NA,NA,2018-E,1.5,Ethanol,0.956,CHARLIE-G-07,-22.6,443.75,2.2,110.48,Invertebrate,0.956,1668077,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,0.818,1.148666667,1345,352,84,6/25/2018,June,Jun,NA,1.5,2,NA,0.9862,,,2.342,11/1/2018 14:40,60,11/2/2018 16:45,1.082,11/3/2018 15:25,1.082,0.00%,11/4/2018 17:34,1.082,0.00%,11/4/2018 17:34,75,0.0958,95.8,11/23/2018,NA,1.082,-0.9862,-986.2,2018-NOV-23-004,Y,,,"EAO, ECJ, EDH",0.179,Y,C,9,2018-NOV-23-004-C-9,11/23/2018
796,EAQ,1177,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,2,48.824672,-114.136037,0.5,4,4,Collector-gatherer-scraper,D-net,Chironomidae_w,Littoral forage Invertebrate,Midge,Chironomidae_w,NA,NA,2018-E,1.5,Ethanol,0.629,DELTA-C-12,-25.8,272.53,1.79,62.97,Invertebrate,0.629,1668130,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-2.382,0.738666667,1345,352,84,6/25/2018,June,Jun,NA,0.5,4,NA,0.9862,White,,2.226,11/1/2018 14:40,60,11/2/2018 16:45,1.074,11/3/2018 15:25,1.074,0.00%,11/4/2018 17:34,1.074,0.00%,11/4/2018 17:34,75,0.0878,87.8,11/23/2018,NA,1.074,-0.9862,-986.2,2018-NOV-23-004,Y,,,"EAQ, ECP",0.254,Y,C,10,2018-NOV-23-004-C-10,11/23/2018
797,EAR,1144,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,2,48.824672,-114.136037,1,1,1,Shredder-gatherer-scraper-detritivore-herbivore,D-net,Limnephilidae,Littoral forage Invertebrate,Northern case maker caddisfly,Limnephilidae,NA,NA,2018-E,1.5,Ethanol,0.979,CHARLIE-G-09,-27.45,522.2,0.99,96.18,Invertebrate,0.979,1668079,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-4.032,-0.061333333,1345,352,84,6/25/2018,June,Jun,NA,1,1,DONE 11/1/18,0.9862,,,2.262,11/1/2018 14:40,60,11/2/2018 16:45,1.079,11/3/2018 15:25,1.079,0.00%,11/4/2018 17:34,1.079,0.00%,11/4/2018 17:34,75,0.0928,92.8,11/23/2018,NA,1.079,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,0.979,N,D,1,2018-NOV-23-004-D-1,11/23/2018
798,EAS,1135,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,2,48.824672,-114.136037,1,6,6,Piercer-predator,D-net,Notonectidae,Littoral forage Invertebrate,Backswimmer,Notonectidae,NA,NA,2018-E,1.5,Ethanol,1.051,CHARLIE-G-10,-24.69,521.9,1.82,128.86,Invertebrate,1.051,1668080,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-1.272,0.768666667,1345,352,84,6/25/2018,June,Jun,NA,1,6,NA,0.9862,,,2.319,11/1/2018 14:40,60,11/2/2018 16:45,1.066,11/3/2018 15:25,1.066,0.00%,11/4/2018 17:34,1.066,0.00%,11/4/2018 17:34,75,0.0798,79.8,11/23/2018,NA,1.066,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,1.051,N,D,2,2018-NOV-23-004-D-2,11/23/2018
799,EAT,1136,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,2,48.824672,-114.136037,1,4,4,Collector-gatherer-shredder-detritivore,D-net,Gammaridae,Littoral forage Invertebrate,Scud,Gammaridae,NA,NA,2018-E,1.5,Ethanol,1.029,CHARLIE-G-11,-22.83,377.86,0.07,83.53,Invertebrate,1.029,1668081,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,0.588,-0.981333333,1345,352,84,6/25/2018,June,Jun,NA,1,4,NA,0.9862,Scud,,2.319,11/1/2018 14:40,60,11/2/2018 16:45,1.091,11/3/2018 15:25,1.091,0.00%,11/4/2018 17:34,1.091,0.00%,11/4/2018 17:34,75,0.1048,104.8,11/23/2018,NA,1.091,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,1.029,N,D,3,2018-NOV-23-004-D-3,11/23/2018
800,EAU,1016,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,2,48.824672,-114.136037,1,1,1,Piercer-predator,D-net,Dytiscidae,Littoral forage Invertebrate,Predaceous diving beetle larvae,Dytiscidae,NA,NA,2018-E,1.5,Ethanol,0.981,CHARLIE-G-12,-23.58,488.33,1.92,116.39,Invertebrate,0.981,1668082,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-0.162,0.868666667,1345,352,84,6/25/2018,June,Jun,NA,1,1,NA,0.9862,larvae,,2.219,11/1/2018 14:40,60,11/2/2018 16:45,1.056,11/3/2018 15:25,1.056,0.00%,11/4/2018 17:34,1.056,0.00%,11/4/2018 17:34,75,0.0698,69.8,11/23/2018,NA,1.056,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,0.981,N,D,4,2018-NOV-23-004-D-4,11/23/2018
801,EBA,1145,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,2,48.824672,-114.136037,1.5,2,2,Piercer-predator,D-net,Hirudinea,Littoral forage Invertebrate,Leech,Hirudinea,NA,NA,2018-E,1.5,Ethanol,1.02,CHARLIE-H-01,-29.9,521.41,3.83,107.09,Invertebrate,1.02,1668083,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-6.482,2.778666667,1345,352,84,6/25/2018,June,Jun,NA,1.5,2,NA,0.9862,,,2.442,11/1/2018 14:40,60,11/2/2018 16:45,1.101,11/3/2018 15:25,1.101,0.00%,11/4/2018 17:34,1.101,0.00%,11/4/2018 17:34,75,0.1148,114.8,11/23/2018,NA,1.101,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,1.02,N,D,6,2018-NOV-23-004-D-6,11/23/2018
802,EBAB,272,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,YES,2,48.219718,-113.805746,0.5,NA,1,Engulfer-predator,D-net,Cambarus,Littoral forage Invertebrate,Crawdad,Cambarus,NA,NA,2019-15-2,15,,0.938,INDIA-C-01,-21.66,325.98,2.87,72.11,Invertebrate,0.938,1668599,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,6.768333333,1.835833333,1112,9630,149,6/4/2019,June,Jun,NA,0.5,,NA,NA,Crawdad,15 ml,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,0.937,N,B,11,2019-NOV-10-001-B-11,11/10/2019
807,EBAB,274,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,YES,2,48.219718,-113.805746,0.5,NA,1,Engulfer-predator,D-net,Cambarus,Littoral forage Invertebrate,Crawdad,Cambarus,NA,NA,2019-15-2,15,,0.939,INDIA-C-02,-21.2,303.33,2.53,62.1,Invertebrate,0.939,1668600,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,7.228333333,1.495833333,1112,9630,149,6/4/2019,June,Jun,NA,0.5,,NA,NA,Crawdad,15 ml,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,0.937,N,B,11,2019-NOV-10-001-B-11,11/10/2019
812,EBAB,276,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,YES,2,48.219718,-113.805746,0.5,NA,1,Engulfer-predator,D-net,Cambarus,Littoral forage Invertebrate,Crawdad,Cambarus,NA,NA,2019-15-2,15,,0.996,INDIA-C-03,-23.16,439.38,3.65,122.07,Invertebrate,0.996,1668601,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,5.268333333,2.615833333,1112,9630,149,6/4/2019,June,Jun,NA,0.5,,NA,NA,Crawdad,15 ml,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,0.937,N,B,11,2019-NOV-10-001-B-11,11/10/2019
817,EBAB,300,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,YES,2,48.219718,-113.805746,0.5,NA,1,Engulfer-predator,D-net,Cambarus,Littoral forage Invertebrate,Crawdad,Cambarus,NA,NA,2019-15-2,15,,0.937,INDIA-C-04,-23.28,423.49,4.05,122.07,Invertebrate,0.937,1668602,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,5.148333333,3.015833333,1112,9630,149,6/4/2019,June,Jun,NA,0.5,,NA,NA,Crawdad,15 ml,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,0.937,N,B,11,2019-NOV-10-001-B-11,11/10/2019
822,EBAB,372,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,YES,2,48.219718,-113.805746,0.5,NA,1,Engulfer-predator,D-net,Cambarus,Littoral forage Invertebrate,Crawdad,Cambarus,NA,NA,2019-15-2,15,,0.971,INDIA-B-12,-20.94,309,1.33,63.16,Invertebrate,0.971,1668598,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,7.488333333,0.295833333,1112,9630,149,6/4/2019,June,Jun,NA,0.5,,NA,NA,Crawdad,15 ml,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,0.937,N,B,11,2019-NOV-10-001-B-11,11/10/2019
827,EBD,1027,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,2,48.824672,-114.136037,1.5,2,2,Piercer-predator,D-net,Hydrachnidia,Littoral forage Invertebrate,Water mite,Hydrachnidia,NA,NA,2018-E,1.5,Ethanol,1.044,CHARLIE-H-02,-28.52,515.18,4.49,129.28,Invertebrate,1.044,1668084,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-5.102,3.438666667,1345,352,84,6/25/2018,June,Jun,NA,1.5,2,NA,0.9862,Water mite,,2.176,11/1/2018 14:40,60,11/2/2018 16:45,1.056,11/3/2018 15:25,1.056,0.00%,11/4/2018 17:34,1.056,0.00%,11/4/2018 17:34,75,0.0698,69.8,11/23/2018,NA,1.056,-0.9862,-986.2,2018-NOV-23-004,Y,,,"EBD, EDG",0.159,Y,D,7,2018-NOV-23-004-D-7,11/23/2018
828,EBE,1041,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,2,48.824672,-114.136037,1.5,8,8,Collector-gatherer-shredder-detritivore,D-net,Gammaridae,Littoral forage Invertebrate,Scud,Gammaridae,NA,NA,2018-E,1.5,Ethanol,0.915,CHARLIE-H-03,-24.3,347.16,-0.1,78.62,Invertebrate,0.915,1668085,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-0.882,-1.151333333,1345,352,84,6/25/2018,June,Jun,NA,1.5,8,NA,0.9862,Scud,,2.193,11/1/2018 14:40,60,11/2/2018 16:45,1.087,11/3/2018 15:25,1.087,0.00%,11/4/2018 17:34,1.087,0.00%,11/4/2018 17:34,75,0.1008,100.8,11/23/2018,NA,1.087,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,0.915,N,D,8,2018-NOV-23-004-D-8,11/23/2018
829,EBF,1187,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,3,48.848718,-114.065645,0.5,1,1,Engulfer-predator-shredder-herbivore-collector-gatherer,D-net,Leptoceridae,Littoral forage Invertebrate,Longhorned case maker caddisfly,Leptoceridae,NA,NA,2018-E,1.5,Ethanol,0.976,CHARLIE-H-04,-23.48,430.26,1.5,108.31,Invertebrate,0.976,1668086,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-0.062,0.448666667,1345,352,84,6/26/2018,June,Jun,NA,0.5,1,DONE 11/1/18,0.9862,,,2.368,11/1/2018 14:40,60,11/2/2018 16:45,1.068,11/3/2018 15:25,1.068,0.00%,11/4/2018 17:34,1.068,0.00%,11/4/2018 17:34,75,0.0818,81.8,11/23/2018,NA,1.068,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,0.976,N,D,10,2018-NOV-23-004-D-10,11/23/2018
830,EBG,1186,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,3,48.848718,-114.065645,0.5,3,3,Engulfer-predator-shredder-herbivore-shredder-detritivore-scraper,D-net,Rhyacophilidae,Littoral forage Invertebrate,Freeliving caddisfly,Rhyacophilidae,NA,NA,2018-E,1.5,Ethanol,0.918,CHARLIE-H-05,-23.63,409.65,-0.1,91.95,Invertebrate,0.918,1668087,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-0.212,-1.151333333,1345,352,84,6/26/2018,June,Jun,NA,0.5,3,NA,0.9862,,,2.282,11/1/2018 14:40,60,11/2/2018 16:45,1.068,11/3/2018 15:25,1.068,0.00%,11/4/2018 17:34,1.068,0.00%,11/4/2018 17:34,75,0.0818,81.8,11/23/2018,NA,1.068,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,0.918,Y,D,11,2018-NOV-23-004-D-11,11/23/2018
831,EBL,1153,Quartz,Mid,Invertebrate,Autochthonous,2018,6,YES,3,48.848718,-114.065645,0.5,2,2,Piercer-predator,D-net,Notonectidae,Littoral forage Invertebrate,Backswimmer,Notonectidae,NA,NA,2018-E,1.5,Ethanol,1.031,CHARLIE-H-07,-24.47,477.58,1.8,114.59,Invertebrate,1.031,1668089,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-1.052,0.748666667,1345,352,84,6/26/2018,June,Jun,NA,0.5,2,NA,0.9862,,,2.222,11/1/2018 14:40,60,11/2/2018 16:45,1.093,11/3/2018 15:25,1.093,0.00%,11/4/2018 17:34,1.093,0.00%,11/4/2018 17:34,75,0.1068,106.8,11/23/2018,NA,1.093,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,1.031,N,E,2,2018-NOV-23-004-E-2,11/23/2018
